"Switch View", "Switch View"
"Read More", "Read More"
"Top", "Top"
"Cart", "Cart"
"item", "item"
"items", "items"
"in your cart", "in your cart"
"view cart", "view cart"
"Search...", "Search..."
"Cart Subtotal:", "Cart Subtotal:"
"Checkout", "Checkout"
"Edit cart", "Edit cart"
"Email Address", "Email Address"
"Password", "Password"
"Forgot Your Password?", "Forgot Your Password?"
"* Required Fields", "* Required Fields"
"Your Language:", "Your Language:"
"Log In", "Log In"
"Sign Up", "Sign Up"
"Text Size", "Text Size"
"Click main image to zoom &amp; pan", "Click main image to zoom &amp; pan"
"More images", "More images"
"Watch a product video", "Watch a product video"
"Our Featured Products", "Our Featured Products"
"Recently Added Products", "Recently Added Products"
"Most Viewed Products", "Most Viewed Products"
"Highest Rated Products", "Highest Rated Products"
"Special Price Products", "Special Price Products"

"Monday", "Monday"
"Tuesday", "Tuesday"
"Wednesday", "Wednesday"
"Thursday", "Thursday"
"Friday", "Friday"
"Saturday", "Saturday"
"Sunday", "Sunday"

"January", "January"
"February", "February"
"March", "March"
"April", "April"
"May", "May"
"June", "June"
"July", "July"
"August", "August"
"September", "September"
"October", "October"
"November", "November"
"December", "December"